index,brewery_id,brewery_name,beer_style,beer_name,beer_id,review_overall
0,1075,Caldera Brewing Company,American Double / Imperial IPA,Cauldron DIPA,64883.0,4.0
1,1075,Caldera Brewing Company,Herbed / Spiced Beer,Caldera Ginger Beer,52159.0,3.8333333333333335
2,1075,Caldera Brewing Company,Oatmeal Stout,Caldera Oatmeal Stout,10789.0,2.5
3,1075,Caldera Brewing Company,American Pale Lager,Caldera OBF 15,12386.0,4.0
4,1075,Caldera Brewing Company,Rauchbier,Rauch Ür Bock,58046.0,4.166666666666667
5,1075,Caldera Brewing Company,American Pale Ale (APA),Caldera Pale Ale,25414.0,3.98159509202454
6,1075,Caldera Brewing Company,American Porter,Pilot Rock Porter,10788.0,4.055555555555555
7,1075,Caldera Brewing Company,Belgian Strong Dark Ale,Vas Deferens Ale,58920.0,3.611111111111111
8,1075,Caldera Brewing Company,American IPA,Caldera IPA,10784.0,4.05511811023622
9,1075,Caldera Brewing Company,American Stout,Cauldron Espresso Stout,21241.0,3.0
10,1075,Caldera Brewing Company,Russian Imperial Stout,Old Growth Imperial Stout,20818.0,4.172413793103448
11,1075,Caldera Brewing Company,American Amber / Red Ale,Dry Hop Red,10786.0,4.0
12,1075,Caldera Brewing Company,American Strong Ale,Southside Strong,10794.0,4.0
13,1075,Caldera Brewing Company,Märzen / Oktoberfest,Caldera Märzen,54330.0,4.5
14,1075,Caldera Brewing Company,American Adjunct Lager,Lawnmower Lager,20817.0,3.5357142857142856
15,1075,Caldera Brewing Company,American Blonde Ale,Caldera Rose Petal (Kettle Series),61427.0,2.9285714285714284
16,1454,Broad Ripple Brew Pub,English Brown Ale,Nut Brown,55097.0,4.0
17,850,Moon River Brewing Company,American Porter,The Captain's Porter,2780.0,4.046875
18,850,Moon River Brewing Company,Scotch Ale / Wee Heavy,The Highland Stagger,20689.0,3.75
19,850,Moon River Brewing Company,American IPA,Swamp Fox IPA,2725.0,3.7439024390243913
20,14879,Hoppin' Frog Brewery,American IPA,Hoppin' To Heaven IPA,33624.0,3.88785046728972
21,1075,Caldera Brewing Company,American IPA,Hopportunity Knocks,56071.0,3.5689655172413794
22,1075,Caldera Brewing Company,American Amber / Red Ale,Ashland Amber,10785.0,3.821428571428572
23,1075,Caldera Brewing Company,American Porter,Coconut Porter,76963.0,4.0
24,1075,Caldera Brewing Company,American Amber / Red Ale,Dry Hop Orange,23290.0,3.8333333333333335
