,brewery_id,brewery_name,beer_style,beer_name,beer_id,review_overall,City,State,Address
4,1075,Caldera Brewing Company,Rauchbier,Rauch Ür Bock,58046,4.166666666666667,Ashland,Oregon,590 Clover Lane
6,1075,Caldera Brewing Company,American Porter,Pilot Rock Porter,10788,4.055555555555555,Ashland,Oregon,590 Clover Lane
8,1075,Caldera Brewing Company,American IPA,Caldera IPA,10784,4.05511811023622,Ashland,Oregon,590 Clover Lane
10,1075,Caldera Brewing Company,Russian Imperial Stout,Old Growth Imperial Stout,20818,4.172413793103448,Ashland,Oregon,590 Clover Lane
13,1075,Caldera Brewing Company,Märzen / Oktoberfest,Caldera Märzen,54330,4.5,Ashland,Oregon,590 Clover Lane
24,1075,Caldera Brewing Company,American Double / Imperial Stout,Imperial Stout,42964,4.5,Ashland,Oregon,590 Clover Lane
25,1075,Caldera Brewing Company,American Strong Ale,Cauldron Brew,10793,5.0,Ashland,Oregon,590 Clover Lane
26,1075,Caldera Brewing Company,American Pale Ale (APA),Hop Hash,72330,4.5,Ashland,Oregon,590 Clover Lane
27,1075,Caldera Brewing Company,American Porter,Mogli,60990,4.5,Ashland,Oregon,590 Clover Lane
29,1454,Broad Ripple Brew Pub,American Amber / Red Lager,Amarillo Lager,43516,4.5,Indianapolis,Indiana,840 E 65th St
32,1454,Broad Ripple Brew Pub,Märzen / Oktoberfest,Oktoberfest,13289,4.333333333333333,Indianapolis,Indiana,840 E 65th St
34,1454,Broad Ripple Brew Pub,Saison / Farmhouse Ale,Winter Wheat,65089,4.5,Indianapolis,Indiana,840 E 65th St
36,1454,Broad Ripple Brew Pub,American Stout,Broad Ripple Stout,15476,4.25,Indianapolis,Indiana,840 E 65th St
37,1454,Broad Ripple Brew Pub,English Strong Ale,Limping Mallard,63460,5.0,Indianapolis,Indiana,840 E 65th St
39,1454,Broad Ripple Brew Pub,American Pale Ale (APA),Extra Pale Ale,38414,4.25,Indianapolis,Indiana,840 E 65th St
40,1454,Broad Ripple Brew Pub,American Porter,Monon Porter,39008,4.5,Indianapolis,Indiana,840 E 65th St
